testcase,top1,top10,top1 compile time,top10 end2end time,Run,Top,Gap,testcase,top1,top50,top1 compile time,top50 end2end time,Run,Top,Gap,testcase,top1,top10,top1 compile time,top10 end2end time,Run,Top,Gap,testcase,top1,top50,top1 compile time,top50 end2end time,Run,Top,Gap,testcase,top1,top10,top1 compile time,top10 end2end time,Run,Top,Gap,testcase,top1,top50,top1 compile time,top50 end2end time,Run,Top,Gap,Experiment
4,6.63e-05,3.334e-05,0.0018143653869628,10.186054706573486,0,top10,,4,6.637000000000002e-05,3.059e-05,0.0012469291687011,47.308485984802246,0,top50,,4,6.63e-05,3.334e-05,0.0017969608306884,10.292269468307495,1,top10,,4,6.614e-05,3.062e-05,0.0012376308441162,46.58371639251709,1,top50,,4,6.63e-05,3.365999999999999e-05,0.0017890930175781,10.64287519454956,2,top10,,4.0,6.643e-05,3.066e-05,0.0012416839599609,47.43765735626221,2.0,top50,,resnet
5,0.00034429,0.00011773,0.0017676353454589,13.013319730758669,0,top10,,5,0.00034512,0.00010307,0.0012130737304687,52.07457423210144,0,top50,,5,0.00034358,0.00011795,0.0017788410186767,12.986729860305786,1,top10,,5,0.0003445099999999,0.00010323,0.0012226104736328,46.775269508361816,1,top50,,5,0.00034454,0.00011821,0.0017857551574707,13.011751651763916,2,top10,,5.0,0.00034435,0.00010326,0.001190185546875,49.29945588111877,2.0,top50,,resnet
6,4.39e-05,2.643e-05,0.0017910003662109,31.06195592880249,0,top10,,6,4.413e-05,2.63e-05,0.0012180805206298,62.67473888397217,0,top50,,6,4.374e-05,2.624e-05,0.0018799304962158,31.938165187835693,1,top10,,6,4.442e-05,2.653e-05,0.0012197494506835,61.23373246192932,1,top50,,6,4.448e-05,2.653e-05,0.0017764568328857,30.98769164085388,2,top10,,6.0,4.426e-05,2.6180000000000003e-05,0.0012388229370117,62.62953209877014,2.0,top50,,resnet
7,6.778e-05,3.571e-05,0.0018115043640136,10.466906070709229,0,top10,,7,6.774e-05,3.203e-05,0.0012249946594238,46.980950117111206,0,top50,,7,6.787e-05,3.558e-05,0.0017914772033691,10.487329959869385,1,top10,,7,6.726e-05,3.216e-05,0.0012187957763671,45.11594772338867,1,top50,,7,6.787e-05,3.578e-05,0.0017900466918945,10.404653072357178,2,top10,,7.0,6.656000000000001e-05,3.2130000000000006e-05,0.0012111663818359,46.17373466491699,2.0,top50,,resnet
8,0.00027894,0.00027894,0.001753807067871,11.503447771072388,0,top10,,8,0.00027981,0.00012019,0.0012180805206298,43.47728848457336,0,top50,,8,0.00027904,0.00027904,0.0017597675323486,11.398097038269045,1,top10,,8,0.00027981,0.00012048,0.0012428760528564,45.29923415184021,1,top50,,8,0.00027914,0.00027914,0.0017507076263427,11.519665956497192,2,top10,,8.0,0.0002792,0.00012048,0.0012216567993164,45.57923650741577,2.0,top50,,resnet
9,0.0004057,8.259000000000001e-05,0.0017428398132324,10.99888300895691,0,top10,,9,0.00040643,5.024e-05,0.0012061595916748,45.978752851486206,0,top50,,9,0.00040602,8.259000000000001e-05,0.0017802715301513,11.161870956420898,1,top10,,9,0.00040678,5.03e-05,0.0012335777282714,44.492252826690674,1,top50,,9,0.00040563,8.309999999999999e-05,0.0017426013946533,11.107992887496948,2,top10,,9.0,0.00040579,5.0270000000000005e-05,0.001216173171997,44.35746717453003,2.0,top50,,resnet
10,0.00012963,4.646e-05,0.0017714500427246,11.433603525161743,0,top10,,10,0.0001296999999999,4.467e-05,0.001237154006958,46.60688400268555,0,top50,,10,0.00013075,4.646e-05,0.0018205642700195,11.27949595451355,1,top10,,10,0.00013005,4.5310000000000005e-05,0.001220703125,45.07982802391052,1,top50,,10,0.00013034,4.662e-05,0.0017886161804199,11.313584804534912,2,top10,,10.0,0.0001311399999999,4.49e-05,0.0012204647064208,45.42928767204285,2.0,top50,,resnet
11,0.00126,0.00032598,0.001753807067871,12.163345336914062,0,top10,,11,0.00126,0.00015958,0.0012006759643554,47.0877799987793,0,top50,,11,0.00126,0.00032403,0.0017752647399902,12.159419298171995,1,top10,,11,0.00126,0.00015952,0.0012183189392089,46.077712059021,1,top50,,11,0.00126,0.00032435,0.0017743110656738,12.16833758354187,2,top10,,11.0,0.00126,0.00015942,0.0012259483337402,47.29745769500733,2.0,top50,,resnet
12,0.00047741,8.269e-05,0.0017518997192382,11.143997192382812,0,top10,,12,0.00047773,5.984e-05,0.0012362003326416,46.55381464958191,0,top50,,12,0.0004777,8.192e-05,0.0017783641815185,11.159299373626707,1,top10,,12,0.00047814,5.997e-05,0.0012025833129882,45.73944067955017,1,top50,,12,0.0004786199999999,8.23e-05,0.0017874240875244,11.136553287506104,2,top10,,12.0,0.0004799,5.997e-05,0.0012226104736328,48.1565887928009,2.0,top50,,resnet
0,0.0001941399999999,0.00014154,0.0018117427825927,14.863165378570557,0,top10,,0,0.0001937,6.739e-05,0.0012168884277343,50.946656703948975,0,top50,,0,0.00019299,0.00014304,0.0017814636230468,14.761188507080078,1,top10,,0,0.00019494,6.797e-05,0.0012168884277343,51.12048316001892,1,top50,,0,0.0001951,0.00014218,0.0017681121826171,14.991199016571043,2,top10,,0.0,0.00019594,6.662000000000001e-05,0.0012116432189941,53.25091862678528,2.0,top50,,yolo
1,0.00093667,0.00053187,0.001749038696289,11.640926122665403,0,top10,,1,0.00093606,0.00023418,0.0011899471282958,48.08697199821472,0,top50,,1,0.00093709,0.00053203,0.0017871856689453,11.94404149055481,1,top10,,1,0.00093686,0.00023168,0.0012123584747314,48.9968855381012,1,top50,,1,0.00093674,0.00053149,0.0017561912536621,11.572505712509155,2,top10,,1.0,0.00093728,0.00023181,0.0012202262878417,48.59819960594177,2.0,top50,,yolo
2,0.00032211,0.00028896,0.0017862319946289,13.086164712905884,0,top10,,2,0.0003220199999999,0.0002412499999999,0.0012149810791015,48.755889654159546,0,top50,,2,0.00032058,0.00028982,0.0017664432525634,12.950722932815552,1,top10,,2,0.00032365,0.00024211,0.0012056827545166,48.00518798828125,1,top50,,2,0.00032301,0.0002879,0.0017981529235839,13.159093379974363,2,top10,,2.0,0.00032339,0.0002424999999999,0.0012059211730957,47.964216470718384,2.0,top50,,yolo
3,0.00011603,0.00011142,0.0018270015716552,13.465066194534302,0,top10,,3,0.00011587,3.712e-05,0.0012266635894775,48.01186847686768,0,top50,,3,0.00011642,0.00011126,0.0017681121826171,13.175465822219849,1,top10,,3,0.00011635,3.766e-05,0.001197338104248,47.554916858673096,1,top50,,3,0.00011622,0.00011146,0.0018012523651123,13.204097986221312,2,top10,,3.0,0.00011632,3.862e-05,0.0012145042419433,47.85527992248535,2.0,top50,,yolo
4,0.00115,0.00112,0.0017571449279785,8.855947256088257,0,top10,,4,0.00115,0.00052355,0.0012173652648925,43.18272757530213,0,top50,,4,0.00115,0.00112,0.0017759799957275,9.052003383636476,1,top10,,4,0.00115,0.00052387,0.0012097358703613,45.16509819030762,1,top50,,4,0.00115,0.00112,0.0017664432525634,9.033865690231323,2,top10,,4.0,0.00115,0.00052346,0.0012054443359375,45.85221147537232,2.0,top50,,yolo
5,7.779000000000001e-05,7.77e-05,0.0017893314361572,14.120079278945925,0,top10,,5,7.734e-05,5.402000000000001e-05,0.0012242794036865,51.490678787231445,0,top50,,5,7.798000000000001e-05,7.77e-05,0.0017793178558349,14.153369903564451,1,top10,,5,7.779000000000001e-05,5.4560000000000006e-05,0.001218557357788,52.16453528404236,1,top50,,5,7.725e-05,7.699e-05,0.0017673969268798,13.990734100341797,2,top10,,5.0,7.795000000000001e-05,5.398e-05,0.0011930465698242,52.46004462242127,2.0,top50,,yolo
6,1e+97,0.00383,0.0017752647399902,14.552865266799929,0,top10,,6,1e+97,0.00155,0.0012164115905761,40.95459222793579,0,top50,,6,1e+97,0.00383,0.0017540454864501,14.604222536087036,1,top10,,6,1e+97,0.00155,0.0012063980102539,41.14716553688049,1,top50,,6,1e+97,0.00383,0.0017948150634765,14.63647198677063,2,top10,,6.0,1e+97,0.00155,0.001204490661621,40.8124041557312,2.0,top50,,yolo
7,0.00011123,7.578e-05,0.001760721206665,23.288346767425537,0,top10,,7,0.00011066,7.523000000000001e-05,0.0012271404266357,95.91603016853333,0,top50,,7,0.0001102399999999,7.539e-05,0.0017549991607666,23.29542374610901,1,top10,,7,0.00011082,7.514e-05,0.0012288093566894,96.87526631355286,1,top50,,7,0.00011075,7.539e-05,0.0017645359039306,23.60955142974853,2,top10,,7.0,0.0001105,7.529999999999999e-05,0.0012331008911132,96.16800427436829,2.0,top50,,yolo
8,0.00448,0.0040999999999999,0.0017518997192382,11.083817720413208,0,top10,,8,0.00448,0.00172,0.0012261867523193,52.714990854263306,0,top50,,8,0.00448,0.0040999999999999,0.0018098354339599,11.150188207626345,1,top10,,8,0.00448,0.00172,0.0012283325195312,52.59110188484192,1,top50,,8,0.00448,0.00409,0.0017890930175781,11.064474821090698,2,top10,,9.0,1e+97,0.00147,0.0012202262878417,43.42198657989502,2.0,top50,,yolo
